fold,epoch,avg_predicted_pixels
1,1,2052.89
1,1,1803.44
1,2,552.78
1,2,166.56
1,3,482.00
1,3,35.22
1,4,2.44
1,4,0.00
1,5,855.22
1,5,38.00
1,6,183.22
1,6,0.22
1,7,1395.33
1,7,332.89
1,8,247.78
1,8,29.89
1,9,254.56
1,9,17.33
1,10,119.44
1,10,31.67
1,11,243.67
1,11,26.11
1,12,91.56
1,12,22.44
1,13,204.44
1,13,22.67
1,14,202.11
1,14,61.11
1,15,547.44
1,15,66.44
1,16,846.67
1,16,183.44
1,17,141.78
1,17,141.44
1,18,290.00
1,18,160.33
1,19,733.44
1,19,203.56
1,20,758.22
1,20,174.33
1,21,410.56
1,21,156.33
1,22,623.44
1,22,183.22
1,23,846.33
1,23,159.56
1,24,1496.00
1,24,216.67
1,25,1085.67
1,25,281.67
1,26,853.22
1,26,238.00
1,27,872.11
1,27,290.44
1,28,1085.89
1,28,293.67
1,29,793.22
1,29,269.11
1,30,939.44
1,30,260.67
2,1,10578.44
2,1,10382.33
2,2,27.22
2,2,33.89
2,3,2464.78
2,3,247.78
2,4,7.56
2,4,1.00
2,5,513.22
2,5,7.67
2,6,733.89
2,6,162.78
2,7,1695.67
2,7,839.33
2,8,2201.11
2,8,1238.44
2,9,611.33
2,9,231.33
2,10,2466.22
2,10,1948.11
2,11,3596.11
2,11,1469.89
2,12,1612.67
2,12,16.56
2,13,3197.00
2,13,1369.33
2,14,1240.00
2,14,189.00
2,15,2185.33
2,15,449.89
2,16,2143.89
2,16,179.22
2,17,1751.44
2,17,222.00
2,18,1942.11
2,18,101.11
2,19,2382.78
2,19,188.44
2,20,1888.33
2,20,31.67
2,21,2058.56
2,21,61.67
2,22,1607.44
2,22,112.44
2,23,1515.56
2,23,24.00
2,24,1993.22
2,24,59.33
2,25,1668.33
2,25,24.56
2,26,2169.78
2,26,19.22
2,27,1704.56
2,27,16.78
2,28,1950.67
2,28,42.78
2,29,1911.67
2,29,28.56
2,30,1506.22
2,30,39.33
3,1,8681.67
3,1,8098.44
3,2,5462.56
3,2,5462.22
3,3,5454.22
3,3,5458.11
3,4,181.33
3,4,260.22
3,5,87.00
3,5,86.56
3,6,385.56
3,6,6.44
3,7,937.33
3,7,490.78
3,8,1404.89
3,8,1036.56
3,9,2293.11
3,9,2823.33
3,10,333.78
3,10,100.56
3,11,578.89
3,11,631.89
3,12,1505.22
3,12,794.00
3,13,895.89
3,13,340.11
3,14,392.11
3,14,431.44
3,15,1091.22
3,15,484.44
3,16,89.78
3,16,337.33
3,17,310.33
3,17,287.89
3,18,1306.89
3,18,542.78
3,19,376.00
3,19,411.67
3,20,803.00
3,20,794.22
3,21,389.78
3,21,358.44
3,22,976.22
3,22,521.89
3,23,710.33
3,23,366.22
3,24,1002.22
3,24,287.89
3,25,1581.22
3,25,388.33
3,26,824.56
3,26,245.33
3,27,526.11
3,27,272.00
3,28,752.67
3,28,289.00
3,29,581.78
3,29,371.22
3,30,485.22
3,30,305.78
0,1,17.67
0,2,63.00
0,3,161.33
0,4,210.67
0,5,375.67
0,6,1352.00
0,7,2525.33
0,8,5434.00
0,9,5618.67
0,10,7559.33
0,11,6792.67
0,12,9657.67
0,13,8042.33
0,14,7378.33
0,15,6107.67
0,16,6463.00
0,17,11024.33
0,18,7777.67
0,19,6983.67
0,20,13118.67
0,21,11782.67
0,22,8079.00
0,23,11866.33
0,24,10381.33
0,25,10541.33
0,26,10832.00
0,27,9451.33
0,28,8400.67
0,29,6386.67
0,30,6303.00
0,1,832.33
0,5,7380.33
0,10,12898.00
0,15,11712.67
0,20,10501.33
0,25,5610.67
0,30,5737.00
0,35,4657.67
0,40,5424.67
0,45,5547.67
0,50,4034.67
0,1,15913.33
0,5,11536.33
0,10,10913.00
0,15,9233.67
0,20,6109.00
0,25,4103.00
0,30,3657.67
0,35,3346.00
0,40,2364.33
0,45,2959.67
0,50,2096.33
